Test Number,Load Time (seconds),Resource Name,Duration (ms)
2,0.558,https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=search&format=original&lang=en&skin=vector-2022&version=zvial,50.69999999925494
2,0.558,https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=ellipsis&format=original&lang=en&skin=vector-2022&version=zvial,52.80000000074506
2,0.558,https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=listBullet&format=original&lang=en&skin=vector-2022&version=zvial,52.59999999962747
2,0.558,https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/arrow-down.svg?9426f,54.30000000074506
2,0.558,https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=language&variant=progressive&format=original&lang=en&skin=vector-2022&version=zvial,54.200000000186265
2,0.558,https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/arrow-down-progressive.svg?f0b59,55.700000000186265
2,0.558,https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/bullet-icon.svg?d4515,55.30000000074506
2,0.558,https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/link-external-small-ltr-progressive.svg?30a3a,56.39999999944121
2,0.558,https://upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg,155.40000000037253
2,0.558,https://upload.wikimedia.org/wikipedia/commons/4/4d/Icon_pdf_file.png,155.20000000018626
2,0.558,https://en.wikipedia.org/static/images/footer/wikimedia-button.png,57.09999999962747
2,0.558,https://en.wikipedia.org/static/images/footer/poweredby_mediawiki_88x31.png,57.700000000186265
2,0.558,https://en.wikipedia.org/w/load.php?lang=en&modules=ext.gadget.ReferenceTooltips%2Cswitcher&skin=vector-2022&version=7q91c,123.20000000018626
2,0.558,https://en.wikipedia.org/w/load.php?lang=en&modules=ext.visualEditor.core.utils.parsing%7Cext.visualEditor.desktopArticleTarget.init%7Cext.visualEditor.progressBarWidget%2CsupportCheck%2CtargetLoader%2CtempWikitextEditorWidget%2Ctrack%2Cve&skin=vector-2022&version=1qn5j,123.09999999962747
